"Country Name","Country Code","Year","Value"
"Virgin Islands (U.S.)","VIR","1960","32000"
"Virgin Islands (U.S.)","VIR","1961","34100"
"Virgin Islands (U.S.)","VIR","1962","36300"
"Virgin Islands (U.S.)","VIR","1963","38700"
"Virgin Islands (U.S.)","VIR","1964","41300"
"Virgin Islands (U.S.)","VIR","1965","44000"
"Virgin Islands (U.S.)","VIR","1966","47300"
"Virgin Islands (U.S.)","VIR","1967","50800"
"Virgin Islands (U.S.)","VIR","1968","54600"
"Virgin Islands (U.S.)","VIR","1969","58600"
"Virgin Islands (U.S.)","VIR","1970","63000"
"Virgin Islands (U.S.)","VIR","1971","71000"
"Virgin Islands (U.S.)","VIR","1972","76000"
"Virgin Islands (U.S.)","VIR","1973","84000"
"Virgin Islands (U.S.)","VIR","1974","90000"
"Virgin Islands (U.S.)","VIR","1975","94000"
"Virgin Islands (U.S.)","VIR","1976","96000"
"Virgin Islands (U.S.)","VIR","1977","93000"
"Virgin Islands (U.S.)","VIR","1978","96000"
"Virgin Islands (U.S.)","VIR","1979","96000"
"Virgin Islands (U.S.)","VIR","1980","97000"
"Virgin Islands (U.S.)","VIR","1981","98000"
"Virgin Islands (U.S.)","VIR","1982","102000"
"Virgin Islands (U.S.)","VIR","1983","104000"
"Virgin Islands (U.S.)","VIR","1984","108000"
"Virgin Islands (U.S.)","VIR","1985","107000"
"Virgin Islands (U.S.)","VIR","1986","106500"
"Virgin Islands (U.S.)","VIR","1987","106000"
"Virgin Islands (U.S.)","VIR","1988","104500"
"Virgin Islands (U.S.)","VIR","1989","103000"
"Virgin Islands (U.S.)","VIR","1990","103963"
"Virgin Islands (U.S.)","VIR","1991","104807"
"Virgin Islands (U.S.)","VIR","1992","105711"
"Virgin Islands (U.S.)","VIR","1993","106577"
"Virgin Islands (U.S.)","VIR","1994","107317"
"Virgin Islands (U.S.)","VIR","1995","107817"
"Virgin Islands (U.S.)","VIR","1996","108093"
"Virgin Islands (U.S.)","VIR","1997","108355"
"Virgin Islands (U.S.)","VIR","1998","108535"
"Virgin Islands (U.S.)","VIR","1999","108596"
"Virgin Islands (U.S.)","VIR","2000","108639"
"Virgin Islands (U.S.)","VIR","2001","108386"
"Virgin Islands (U.S.)","VIR","2002","108208"
"Virgin Islands (U.S.)","VIR","2003","108085"
"Virgin Islands (U.S.)","VIR","2004","107950"
"Virgin Islands (U.S.)","VIR","2005","107863"
"Virgin Islands (U.S.)","VIR","2006","107700"
"Virgin Islands (U.S.)","VIR","2007","107423"
"Virgin Islands (U.S.)","VIR","2008","107091"
"Virgin Islands (U.S.)","VIR","2009","106707"
"Virgin Islands (U.S.)","VIR","2010","106267"
"Virgin Islands (U.S.)","VIR","2011","105784"
"Virgin Islands (U.S.)","VIR","2012","105275"
"Virgin Islands (U.S.)","VIR","2013","104737"
"Virgin Islands (U.S.)","VIR","2014","104170"
"Virgin Islands (U.S.)","VIR","2015","103574"
"Virgin Islands (U.S.)","VIR","2016","102951"
