"Country Name","Country Code","Year","Value"
"West Bank and Gaza","PSE","1990","1978248"
"West Bank and Gaza","PSE","1991","2068845"
"West Bank and Gaza","PSE","1992","2163591"
"West Bank and Gaza","PSE","1993","2262676"
"West Bank and Gaza","PSE","1994","2366298"
"West Bank and Gaza","PSE","1995","2474666"
"West Bank and Gaza","PSE","1996","2587997"
"West Bank and Gaza","PSE","1997","2706518"
"West Bank and Gaza","PSE","1998","2776568"
"West Bank and Gaza","PSE","1999","2848431"
"West Bank and Gaza","PSE","2000","2922153"
"West Bank and Gaza","PSE","2001","2997784"
"West Bank and Gaza","PSE","2002","3075373"
"West Bank and Gaza","PSE","2003","3154969"
"West Bank and Gaza","PSE","2004","3236626"
"West Bank and Gaza","PSE","2005","3320396"
"West Bank and Gaza","PSE","2006","3406334"
"West Bank and Gaza","PSE","2007","3494496"
"West Bank and Gaza","PSE","2008","3596688"
"West Bank and Gaza","PSE","2009","3702218"
"West Bank and Gaza","PSE","2010","3811102"
"West Bank and Gaza","PSE","2011","3927051"
"West Bank and Gaza","PSE","2012","4046901"
"West Bank and Gaza","PSE","2013","4169506"
"West Bank and Gaza","PSE","2014","4294682"
"West Bank and Gaza","PSE","2015","4422143"
"West Bank and Gaza","PSE","2016","4551566"
