"Country Name","Country Code","Year","Value"
"World","WLD","1960","3034193297"
"World","WLD","1961","3075115342"
"World","WLD","1962","3127961482"
"World","WLD","1963","3192794384"
"World","WLD","1964","3258201476"
"World","WLD","1965","3324951621"
"World","WLD","1966","3394864530"
"World","WLD","1967","3464439525"
"World","WLD","1968","3534821115"
"World","WLD","1969","3609383725"
"World","WLD","1970","3684765870"
"World","WLD","1971","3762198347"
"World","WLD","1972","3838924951"
"World","WLD","1973","3914857611"
"World","WLD","1974","3991430917"
"World","WLD","1975","4066267984"
"World","WLD","1976","4139151082"
"World","WLD","1977","4211781677"
"World","WLD","1978","4285609387"
"World","WLD","1979","4361295248"
"World","WLD","1980","4437690434"
"World","WLD","1981","4515764583"
"World","WLD","1982","4596813158"
"World","WLD","1983","4678525765"
"World","WLD","1984","4759982360"
"World","WLD","1985","4843067309"
"World","WLD","1986","4928822143"
"World","WLD","1987","5016798785"
"World","WLD","1988","5105701987"
"World","WLD","1989","5194731380"
"World","WLD","1990","5284886348"
"World","WLD","1991","5372078249"
"World","WLD","1992","5456141249"
"World","WLD","1993","5541075501"
"World","WLD","1994","5624840414"
"World","WLD","1995","5709757338"
"World","WLD","1996","5792568347"
"World","WLD","1997","5875398158"
"World","WLD","1998","5957237460"
"World","WLD","1999","6038067278"
"World","WLD","2000","6118075293"
"World","WLD","2001","6197638117"
"World","WLD","2002","6276824417.88287"
"World","WLD","2003","6356259573.89893"
"World","WLD","2004","6436346997.99137"
"World","WLD","2005","6517020798.24397"
"World","WLD","2006","6598421257.48499"
"World","WLD","2007","6680423046.99093"
"World","WLD","2008","6763745673.29553"
"World","WLD","2009","6847214549.1102"
"World","WLD","2010","6930656699.36223"
"World","WLD","2011","7012843635.35782"
"World","WLD","2012","7097400665.07723"
"World","WLD","2013","7182860114.61008"
"World","WLD","2014","7268986175.73916"
"World","WLD","2015","7355220411.68203"
"World","WLD","2016","7442135578"
