"Country Name","Country Code","Year","Value"
"Yemen, Rep.","YEM","1960","5172135"
"Yemen, Rep.","YEM","1961","5260501"
"Yemen, Rep.","YEM","1962","5351799"
"Yemen, Rep.","YEM","1963","5446063"
"Yemen, Rep.","YEM","1964","5543339"
"Yemen, Rep.","YEM","1965","5643643"
"Yemen, Rep.","YEM","1966","5748588"
"Yemen, Rep.","YEM","1967","5858638"
"Yemen, Rep.","YEM","1968","5971407"
"Yemen, Rep.","YEM","1969","6083619"
"Yemen, Rep.","YEM","1970","6193810"
"Yemen, Rep.","YEM","1971","6300554"
"Yemen, Rep.","YEM","1972","6407295"
"Yemen, Rep.","YEM","1973","6523452"
"Yemen, Rep.","YEM","1974","6661566"
"Yemen, Rep.","YEM","1975","6830692"
"Yemen, Rep.","YEM","1976","7034868"
"Yemen, Rep.","YEM","1977","7271872"
"Yemen, Rep.","YEM","1978","7536764"
"Yemen, Rep.","YEM","1979","7821552"
"Yemen, Rep.","YEM","1980","8120497"
"Yemen, Rep.","YEM","1981","8434017"
"Yemen, Rep.","YEM","1982","8764621"
"Yemen, Rep.","YEM","1983","9111097"
"Yemen, Rep.","YEM","1984","9472170"
"Yemen, Rep.","YEM","1985","9847899"
"Yemen, Rep.","YEM","1986","10232733"
"Yemen, Rep.","YEM","1987","10628585"
"Yemen, Rep.","YEM","1988","11051504"
"Yemen, Rep.","YEM","1989","11523267"
"Yemen, Rep.","YEM","1990","12057039"
"Yemen, Rep.","YEM","1991","12661614"
"Yemen, Rep.","YEM","1992","13325583"
"Yemen, Rep.","YEM","1993","14017239"
"Yemen, Rep.","YEM","1994","14692686"
"Yemen, Rep.","YEM","1995","15320653"
"Yemen, Rep.","YEM","1996","15889449"
"Yemen, Rep.","YEM","1997","16408954"
"Yemen, Rep.","YEM","1998","16896210"
"Yemen, Rep.","YEM","1999","17378098"
"Yemen, Rep.","YEM","2000","17874725"
"Yemen, Rep.","YEM","2001","18390135"
"Yemen, Rep.","YEM","2002","18919179"
"Yemen, Rep.","YEM","2003","19462086"
"Yemen, Rep.","YEM","2004","20017068"
"Yemen, Rep.","YEM","2005","20582927"
"Yemen, Rep.","YEM","2006","21160534"
"Yemen, Rep.","YEM","2007","21751605"
"Yemen, Rep.","YEM","2008","22356391"
"Yemen, Rep.","YEM","2009","22974929"
"Yemen, Rep.","YEM","2010","23606779"
"Yemen, Rep.","YEM","2011","24252206"
"Yemen, Rep.","YEM","2012","24909969"
"Yemen, Rep.","YEM","2013","25576322"
"Yemen, Rep.","YEM","2014","26246327"
"Yemen, Rep.","YEM","2015","26916207"
"Yemen, Rep.","YEM","2016","27584213"
