"Country Name","Country Code","Year","Value"
"Zambia","ZMB","1960","3044846"
"Zambia","ZMB","1961","3140264"
"Zambia","ZMB","1962","3240587"
"Zambia","ZMB","1963","3345145"
"Zambia","ZMB","1964","3452942"
"Zambia","ZMB","1965","3563407"
"Zambia","ZMB","1966","3676189"
"Zambia","ZMB","1967","3791887"
"Zambia","ZMB","1968","3912085"
"Zambia","ZMB","1969","4038923"
"Zambia","ZMB","1970","4173928"
"Zambia","ZMB","1971","4317748"
"Zambia","ZMB","1972","4469895"
"Zambia","ZMB","1973","4629402"
"Zambia","ZMB","1974","4794754"
"Zambia","ZMB","1975","4964831"
"Zambia","ZMB","1976","5139030"
"Zambia","ZMB","1977","5317631"
"Zambia","ZMB","1978","5501445"
"Zambia","ZMB","1979","5691749"
"Zambia","ZMB","1980","5889230"
"Zambia","ZMB","1981","6094206"
"Zambia","ZMB","1982","6305709"
"Zambia","ZMB","1983","6521542"
"Zambia","ZMB","1984","6738765"
"Zambia","ZMB","1985","6955212"
"Zambia","ZMB","1986","7170656"
"Zambia","ZMB","1987","7385686"
"Zambia","ZMB","1988","7600072"
"Zambia","ZMB","1989","7813808"
"Zambia","ZMB","1990","8027253"
"Zambia","ZMB","1991","8239732"
"Zambia","ZMB","1992","8452275"
"Zambia","ZMB","1993","8669168"
"Zambia","ZMB","1994","8896109"
"Zambia","ZMB","1995","9137077"
"Zambia","ZMB","1996","9394304"
"Zambia","ZMB","1997","9666578"
"Zambia","ZMB","1998","9950224"
"Zambia","ZMB","1999","10239714"
"Zambia","ZMB","2000","10531221"
"Zambia","ZMB","2001","10824125"
"Zambia","ZMB","2002","11120409"
"Zambia","ZMB","2003","11421984"
"Zambia","ZMB","2004","11731746"
"Zambia","ZMB","2005","12052156"
"Zambia","ZMB","2006","12383446"
"Zambia","ZMB","2007","12725974"
"Zambia","ZMB","2008","13082517"
"Zambia","ZMB","2009","13456417"
"Zambia","ZMB","2010","13850033"
"Zambia","ZMB","2011","14264756"
"Zambia","ZMB","2012","14699937"
"Zambia","ZMB","2013","15153210"
"Zambia","ZMB","2014","15620974"
"Zambia","ZMB","2015","16100587"
"Zambia","ZMB","2016","16591390"
