"Country Name","Country Code","Year","Value"
"Zimbabwe","ZWE","1960","3747369"
"Zimbabwe","ZWE","1961","3870756"
"Zimbabwe","ZWE","1962","3999419"
"Zimbabwe","ZWE","1963","4132756"
"Zimbabwe","ZWE","1964","4269863"
"Zimbabwe","ZWE","1965","4410212"
"Zimbabwe","ZWE","1966","4553433"
"Zimbabwe","ZWE","1967","4700041"
"Zimbabwe","ZWE","1968","4851431"
"Zimbabwe","ZWE","1969","5009514"
"Zimbabwe","ZWE","1970","5175618"
"Zimbabwe","ZWE","1971","5351195"
"Zimbabwe","ZWE","1972","5535874"
"Zimbabwe","ZWE","1973","5727044"
"Zimbabwe","ZWE","1974","5920943"
"Zimbabwe","ZWE","1975","6115370"
"Zimbabwe","ZWE","1976","6308300"
"Zimbabwe","ZWE","1977","6501893"
"Zimbabwe","ZWE","1978","6703182"
"Zimbabwe","ZWE","1979","6921790"
"Zimbabwe","ZWE","1980","7164172"
"Zimbabwe","ZWE","1981","7431940"
"Zimbabwe","ZWE","1982","7721536"
"Zimbabwe","ZWE","1983","8027565"
"Zimbabwe","ZWE","1984","8342195"
"Zimbabwe","ZWE","1985","8658857"
"Zimbabwe","ZWE","1986","8976205"
"Zimbabwe","ZWE","1987","9293283"
"Zimbabwe","ZWE","1988","9604302"
"Zimbabwe","ZWE","1989","9902540"
"Zimbabwe","ZWE","1990","10183113"
"Zimbabwe","ZWE","1991","10443043"
"Zimbabwe","ZWE","1992","10682868"
"Zimbabwe","ZWE","1993","10905756"
"Zimbabwe","ZWE","1994","11116948"
"Zimbabwe","ZWE","1995","11320346"
"Zimbabwe","ZWE","1996","11518262"
"Zimbabwe","ZWE","1997","11709997"
"Zimbabwe","ZWE","1998","11893272"
"Zimbabwe","ZWE","1999","12064537"
"Zimbabwe","ZWE","2000","12222251"
"Zimbabwe","ZWE","2001","12366165"
"Zimbabwe","ZWE","2002","12500525"
"Zimbabwe","ZWE","2003","12633897"
"Zimbabwe","ZWE","2004","12777511"
"Zimbabwe","ZWE","2005","12940032"
"Zimbabwe","ZWE","2006","13124267"
"Zimbabwe","ZWE","2007","13329909"
"Zimbabwe","ZWE","2008","13558469"
"Zimbabwe","ZWE","2009","13810599"
"Zimbabwe","ZWE","2010","14086317"
"Zimbabwe","ZWE","2011","14386649"
"Zimbabwe","ZWE","2012","14710826"
"Zimbabwe","ZWE","2013","15054506"
"Zimbabwe","ZWE","2014","15411675"
"Zimbabwe","ZWE","2015","15777451"
"Zimbabwe","ZWE","2016","16150362"
