Year,Revenue Deficit
1980-81,15
1981-82,-2
1982-83,1
1983-84,47
1984-85,71
1985-86,-7
1986-87,-42
1987-88,107
1988-89,64
1989-90,123
1990-91,91
1991-92,-104
1992-93,-267
1993-94,-459
1994-95,-703
1995-96,-741
1996-97,-792
1997-98,-808
1998-99,400
1999-00,542
2000-01,"1,259"
2001-02,-736
2002-03,-652
2003-04,"-1,910"
2004-05,"-1,577"
2005-06,"-1,816"
2006-07,"-1,914"
2007-08,"-2,216"
2008-09,"-3,360"
2009-10,"-4,450"
2010-11,"-3,770"
2011-12,"-2,100"
2012-13,"-1,100"
2013-14,-70
2014-15,"-3,490"
2015-16 (RE),"-3,100"
