"Date","Total Equity","Domestic Equity","World Equity","total_bond"
"2007-01-31","27364","5723","21641","15287"
"2007-02-28","25306","8411","16895","15064"
"2007-03-31","6551","-486","7037","15782"
"2007-04-30","16063","-163","16225","13701"
"2007-05-31","-2876","-14176","11300","20813"
"2007-06-30","2775","-5905","8680","7401"
"2007-07-31","9901","-5089","14990","4630"
"2007-08-31","-16756","-18661","1906","-3717"
"2007-09-30","6759","-5216","11975","7432"
"2007-10-31","9339","-6602","15941","11605"
"2007-11-30","-11257","-16247","4990","2092"
"2007-12-31","158","-10048","10207","519"
"2008-01-31","-45203","-36503","-8700","23036"
"2008-02-29","8511","2122","6390","13760"
"2008-03-31","-9480","-8741","-739","8776"
"2008-04-30","11701","4567","7133","16873"
"2008-05-31","14582","5190","9392","17092"
"2008-06-30","-4413","-4383","-30","4834"
"2008-07-31","-25920","-18237","-7683","2780"
"2008-08-31","-19574","-1861","-17713","7736"
"2008-09-30","-49995","-27733","-22262","-1575"
"2008-10-31","-70501","-44053","-26448","-41045"
"2008-11-30","-19704","-10561","-9143","-14899"
"2008-12-31","-19410","-8830","-10580","-7336"
"2009-01-31","8869","7168","1701","16027"
"2009-02-28","-24635","-13509","-11126","16812"
"2009-03-31","-24732","-15153","-9579","19982"
"2009-04-30","11498","9307","2192","27828"
"2009-05-31","17511","13398","4113","31098"
"2009-06-30","11850","5533","6317","28495"
"2009-07-31","9229","2633","6596","34904"
"2009-08-31","3620","-1585","5205","42997"
"2009-09-30","-1817","-4851","3034","47253"
"2009-10-31","-7199","-13802","6603","43705"
"2009-11-30","-2390","-8198","5809","35971"
"2009-12-31","-3756","-8574","4817","26166"
"2010-01-31","13961","4227","9734","26944"
"2010-02-28","24","-4932","4955","26236"
"2010-03-31","9935","2034","7902","36631"
"2010-04-30","10463","2526","7937","26752"
"2010-05-31","-23353","-17747","-5606","13289"
"2010-06-30","-2857","-5262","2406","18698"
"2010-07-31","-11250","-10846","-404","28687"
"2010-08-31","-15040","-14158","-883","30401"
"2010-09-30","-8874","-12184","3310","25065"
"2010-10-31","675","-5841","6516","22828"
"2010-11-30","620","-6425","7045","-1875"
"2010-12-31","1281","-12537","13818","-21314"
"2011-01-31","18717","10777","7939","-2035"
"2011-02-28","11408","7368","4040","7977"
"2011-03-31","2043","-5894","7937","11428"
"2011-04-30","6210","1355","4855","14204"
"2011-05-31","-4256","-6349","2093","20375"
"2011-06-30","-22265","-19875","-2390","13196"
"2011-07-31","-31778","-29339","-2440","9012"
"2011-08-31","-28147","-25093","-3054","-5423"
"2011-09-30","-12604","-13821","1217","9509"
"2011-10-31","-20749","-18201","-2548","10485"
"2011-11-30","-18517","-13888","-4629","18730"
"2011-12-31","-29324","-20444","-8880","10208"
"2012-01-31","-672","-2837","2164","26324"
"2012-02-29","1465","-1618","3083","33556"
"2012-03-31","-10260","-12368","2108","29983"
"2012-04-30","-6618","-18439","11821","24160"
"2012-05-31","-8752","-11853","3101","19312"
"2012-06-30","-6436","-9319","2883","16507"
"2012-07-31","-9017","-9070","53","25026"
"2012-08-31","-18097","-14376","-3721","31898"
"2012-09-30","-24072","-19391","-4682","29881"
"2012-10-31","-16382","-14376","-2006","37048"
"2012-11-30","-23202","-19370","-3833","24762"
"2012-12-31","-30636","-26266","-4370","7768"
"2013-01-31","37084","18076","19009","32687"
"2013-02-28","14465","-1289","15754","19869"
"2013-03-31","14974","2541","12433","15766"
"2013-04-30","5830","-678","6508","12339"
"2013-05-31","6200","-3531","9731","12849"
"2013-06-30","6168","-4237","10404","-59319"
"2013-07-31","19350","9000","10351","-16371"
"2013-08-31","7440","-1026","8467","-28883"
"2013-09-30","4881","-3375","8256","-10969"
"2013-10-31","21041","8357","12684","-15362"
"2013-11-30","22326","6407","15918","-14147"
"2013-12-31","-207","-12182","11975","-19630"
"2014-01-31","23761","6966","16795","2484"
"2014-02-28","19032","9402","9630","8749"
"2014-03-31","10440","2012","8428","13801"
"2014-04-30","6255","-481","6736","8782"
"2014-05-31","-229","-7169","6939","12031"
"2014-06-30","-2273","-10668","8394","11727"
"2014-07-31","-6469","-13806","7337","10413"
"2014-08-31","1172","-6497","7668","5262"
"2014-09-30","-5211","-13412","8201","-19367"
"2014-10-31","5195","217","4979","-6228"
"2014-11-30","-2508","-6096","3588","14963"
"2014-12-31","-23949","-20685","-3264","-19088"
"2015-01-31","12443","6681","5762","10112"
"2015-02-28","8317","1423","6894","17405"
