"Date","Total Equity","Domestic Equity","World Equity","taxable_bond"
"2012-12-05","-7426","-6060","-1367","4210"
"2012-12-12","-8783","-7520","-1263","1598"
"2012-12-19","-5496","-5470","-26","3472"
"2012-12-26","-4451","-4076","-375","3333"
"2013-01-02","-11156","-9622","-1533","2103"
"2013-01-09","14817","7995","6821","7311"
"2014-04-02","3155","938","2217","3129"
"2014-04-09","5761","2080","3681","1448"
"2014-04-16","2286","634","1652","604"
"2014-04-23","3530","1392","2138","1453"
"2014-04-30","-3890","-3996","106","559"
"2014-05-07","632","-2006","2639","4417"
"2014-05-14","-1079","-2321","1242","3141"
"2014-05-21","697","-1790","2487","1398"
"2014-05-28","-2453","-2603","150","1236"
"2014-06-04","2098","-1148","3246","-470"
"2014-06-11","1236","-1840","3075","1587"
"2014-06-18","-922","-2204","1282","3740"
"2014-06-25","-93","-1354","1262","2694"
"2014-07-02","-7835","-8887","1052","2704"
"2014-07-09","666","-1070","1736","3203"
"2014-07-30","118","-1171","1290","1119"
"2014-08-06","-471","-3073","2602","-8658"
"2014-08-13","320","-974","1294","539"
"2014-08-20","2671","738","1933","4185"
"2014-08-27","-577","-2199","1623","2921"
"2014-09-03","-4024","-5305","1281","1768"
"2014-09-10","1257","-1291","2548","711"
"2014-11-05","-32","-1634","1602","5284"
"2014-11-12","1464","61","1403","2703"
"2014-11-19","-3010","-3622","611","1758"
"2014-11-25","-1175","-2044","869","1821"
"2015-01-07","-3913","-5438","1525","-4729"
"2015-01-14","1774","-37","1811","2582"
"2015-01-21","1267","856","411","220"
"2015-01-28","4343","3455","888","4689"
"2015-02-04","4240","3536","703","2274"
"2015-02-11","1268","-27","1296","5169"
"2015-03-04","999","-1933","2932","4309"
"2015-03-11","3911","-7","3918","999"
"2015-03-18","1948","-1758","3706","258"
"2015-03-25","-1167","-4478","3311","1701"
"2015-04-01","-1527","-3307","1780","-1392"
"2015-04-08","1906","-1321","3227","1906"
