"Date","Total Equity","Domestic Equity","World Equity","total_bond"
"2012-12-05","-7426","-6060","-1367","5317"
"2012-12-12","-8783","-7520","-1263","1818"
"2012-12-19","-5496","-5470","-26","103"
"2012-12-26","-4451","-4076","-375","2610"
"2013-01-02","-11156","-9622","-1533","2383"
"2013-01-09","14817","7995","6821","9766"
"2014-04-02","3155","938","2217","3379"
"2014-04-09","5761","2080","3681","1609"
"2014-04-16","2286","634","1652","633"
"2014-04-23","3530","1392","2138","1984"
"2014-04-30","-3890","-3996","106","888"
"2014-05-07","632","-2006","2639","5493"
"2014-05-14","-1079","-2321","1242","4037"
"2014-05-21","697","-1790","2487","2196"
"2014-05-28","-2453","-2603","150","2041"
"2014-06-04","2098","-1148","3246","188"
"2014-06-11","1236","-1840","3075","2112"
"2014-06-18","-922","-2204","1282","4159"
"2014-06-25","-93","-1354","1262","3256"
"2014-07-02","-7835","-8887","1052","2979"
"2014-07-09","666","-1070","1736","2721"
"2014-07-30","118","-1171","1290","1806"
"2014-08-06","-471","-3073","2602","-8193"
"2014-08-13","320","-974","1294","1436"
"2014-08-20","2671","738","1933","4999"
"2014-08-27","-577","-2199","1623","3655"
"2014-09-03","-4024","-5305","1281","2430"
"2014-09-10","1257","-1291","2548","1554"
"2014-11-05","-32","-1634","1602","5813"
"2014-11-12","1464","61","1403","3596"
"2014-11-19","-3010","-3622","611","2529"
"2014-11-25","-1175","-2044","869","2590"
"2015-01-07","-3913","-5438","1525","-3403"
"2015-01-14","1774","-37","1811","3549"
"2015-01-21","1267","856","411","1258"
"2015-01-28","4343","3455","888","5964"
"2015-02-04","4240","3536","703","3237"
"2015-02-11","1268","-27","1296","5862"
"2015-03-04","999","-1933","2932","4984"
"2015-03-11","3911","-7","3918","1298"
"2015-03-18","1948","-1758","3706","452"
"2015-03-25","-1167","-4478","3311","2404"
"2015-04-01","-1527","-3307","1780","-1296"
"2015-04-08","1906","-1321","3227","1719"
